customerID,Feature,SHAP Value,Impact
7590-VHVEG,numeric__tenure,1.233624899754655,Increases Risk
7590-VHVEG,numeric__MonthlyCharges,0.4798760733759363,Increases Risk
7590-VHVEG,categorical__InternetService_DSL,-0.45357938999927366,Decreases Risk
7590-VHVEG,numeric__LongTermContract,0.4232349854753623,Increases Risk
7590-VHVEG,numeric__TotalCharges,-0.3254721743058787,Decreases Risk
5575-GNVDE,numeric__LongTermContract,-0.5172872044698874,Decreases Risk
5575-GNVDE,categorical__InternetService_DSL,-0.45357938999927366,Decreases Risk
5575-GNVDE,categorical__InternetService_Fiber optic,-0.29658970564343595,Decreases Risk
5575-GNVDE,categorical__LifecycleSegment_Mature,-0.20467619219910158,Decreases Risk
5575-GNVDE,categorical__Contract_One year,0.1859641625614205,Increases Risk
3668-QPYBK,numeric__tenure,1.1957952493481951,Increases Risk
3668-QPYBK,categorical__InternetService_DSL,-0.45357938999927366,Decreases Risk
3668-QPYBK,numeric__LongTermContract,0.4232349854753623,Increases Risk
3668-QPYBK,numeric__TotalCharges,-0.31463412673947155,Decreases Risk
3668-QPYBK,categorical__InternetService_Fiber optic,-0.29658970564343595,Decreases Risk
7795-CFOCW,numeric__LongTermContract,-0.5172872044698874,Decreases Risk
7795-CFOCW,categorical__InternetService_DSL,-0.45357938999927366,Decreases Risk
7795-CFOCW,numeric__tenure,-0.4308797181295774,Decreases Risk
7795-CFOCW,numeric__MonthlyCharges,0.3112228217130927,Increases Risk
7795-CFOCW,categorical__InternetService_Fiber optic,-0.29658970564343595,Decreases Risk
9237-HQITU,numeric__tenure,1.1957952493481951,Increases Risk
9237-HQITU,numeric__LongTermContract,0.4232349854753623,Increases Risk
9237-HQITU,categorical__InternetService_Fiber optic,0.30869540791459665,Increases Risk
9237-HQITU,numeric__TotalCharges,-0.3086129892025787,Decreases Risk
9237-HQITU,numeric__TotalServices,-0.30595982174514075,Decreases Risk
9305-CDSKC,numeric__tenure,0.9688173469094362,Increases Risk
9305-CDSKC,numeric__MonthlyCharges,-0.4656658516093242,Decreases Risk
9305-CDSKC,numeric__LongTermContract,0.4232349854753623,Increases Risk
9305-CDSKC,categorical__InternetService_Fiber optic,0.30869540791459665,Increases Risk
9305-CDSKC,categorical__LifecycleSegment_Growing,-0.25297391394948865,Decreases Risk
1452-KIOVK,numeric__tenure,0.43920224121899865,Increases Risk
1452-KIOVK,numeric__LongTermContract,0.4232349854753623,Increases Risk
1452-KIOVK,numeric__MonthlyCharges,-0.3227508471881994,Decreases Risk
1452-KIOVK,categorical__InternetService_Fiber optic,0.30869540791459665,Increases Risk
1452-KIOVK,categorical__LifecycleSegment_Growing,-0.25297391394948865,Decreases Risk
6713-OKOMC,numeric__tenure,0.8931580460965166,Increases Risk
6713-OKOMC,numeric__MonthlyCharges,0.48123071796760575,Increases Risk
6713-OKOMC,categorical__InternetService_DSL,-0.45357938999927366,Decreases Risk
6713-OKOMC,numeric__LongTermContract,0.4232349854753623,Increases Risk
6713-OKOMC,numeric__TotalServices,-0.30595982174514075,Decreases Risk
7892-POOKP,numeric__MonthlyCharges,-0.5354300480802997,Decreases Risk
7892-POOKP,numeric__LongTermContract,0.4232349854753623,Increases Risk
7892-POOKP,numeric__TotalServices,0.3395250342572659,Increases Risk
7892-POOKP,categorical__InternetService_Fiber optic,0.30869540791459665,Increases Risk
7892-POOKP,numeric__HighValueCustomer,-0.23472992356670408,Decreases Risk
6388-TABGU,numeric__tenure,-1.0739837750393946,Decreases Risk
6388-TABGU,numeric__LongTermContract,-0.5172872044698874,Decreases Risk
6388-TABGU,categorical__InternetService_DSL,-0.45357938999927366,Decreases Risk
6388-TABGU,categorical__InternetService_Fiber optic,-0.29658970564343595,Decreases Risk
6388-TABGU,categorical__Contract_One year,0.1859641625614205,Increases Risk
9763-GRSKD,numeric__tenure,0.7796690948771372,Increases Risk
9763-GRSKD,categorical__InternetService_DSL,-0.45357938999927366,Decreases Risk
9763-GRSKD,numeric__LongTermContract,0.4232349854753623,Increases Risk
9763-GRSKD,categorical__InternetService_Fiber optic,-0.29658970564343595,Decreases Risk
9763-GRSKD,categorical__LifecycleSegment_Growing,-0.25297391394948865,Decreases Risk
7469-LKBCI,numeric__tenure,0.6661801436577576,Increases Risk
7469-LKBCI,numeric__MonthlyCharges,0.627532333867904,Increases Risk
7469-LKBCI,numeric__LongTermContract,-0.5172872044698874,Decreases Risk
7469-LKBCI,categorical__Contract_Two year,-0.4226303055741214,Decreases Risk
7469-LKBCI,numeric__TotalServices,-0.30595982174514075,Decreases Risk
8091-TTVAX,numeric__tenure,-0.9226651734135551,Decreases Risk
8091-TTVAX,numeric__LongTermContract,-0.5172872044698874,Decreases Risk
8091-TTVAX,numeric__MonthlyCharges,-0.4751483637510101,Decreases Risk
8091-TTVAX,numeric__TotalCharges,0.45675664190942594,Increases Risk
