Feature,SHAP Value,Absolute SHAP
numeric__tenure,1.233624899754655,1.233624899754655
numeric__MonthlyCharges,0.4798760733759363,0.4798760733759363
categorical__InternetService_DSL,-0.45357938999927366,0.45357938999927366
numeric__LongTermContract,0.4232349854753623,0.4232349854753623
numeric__TotalCharges,-0.3254721743058787,0.3254721743058787
numeric__TotalServices,-0.30595982174514075,0.30595982174514075
categorical__InternetService_Fiber optic,-0.29658970564343595,0.29658970564343595
categorical__LifecycleSegment_New,0.2578773218699952,0.2578773218699952
categorical__PhoneService_Yes,0.21129045055588305,0.21129045055588305
categorical__Contract_Two year,0.1484917289855021,0.1484917289855021
categorical__MonthlyChargeSegment_Low,-0.13214721996741163,0.13214721996741163
numeric__HighValueCustomer,0.1263930357666868,0.1263930357666868
categorical__MultipleLines_No,0.12139866458836421,0.12139866458836421
categorical__PaperlessBilling_No,0.10716483775510183,0.10716483775510183
categorical__StreamingMovies_No,-0.09372078814597234,0.09372078814597234
categorical__StreamingTV_No,-0.09117117999806588,0.09117117999806588
categorical__OnlineBackup_Yes,-0.08791596761827952,0.08791596761827952
numeric__AutoPayment,0.08367168735942357,0.08367168735942357
categorical__LifecycleSegment_Mature,0.07191325671860326,0.07191325671860326
categorical__PaymentMethod_Electronic check,0.07133882662482846,0.07133882662482846
numeric__HasOnlineSecurity,0.06759757843990513,0.06759757843990513
categorical__gender_Male,0.06648850424755902,0.06648850424755902
categorical__Partner_Yes,-0.06517025893007321,0.06517025893007321
categorical__LifecycleSegment_Growing,0.06324347848737216,0.06324347848737216
categorical__Partner_No,0.05990617166836387,0.05990617166836387
categorical__OnlineSecurity_No,0.05888612898007618,0.05888612898007618
categorical__InternetService_No,0.05821789731051968,0.05821789731051968
categorical__DeviceProtection_No internet service,0.05821789731051968,0.05821789731051968
categorical__OnlineSecurity_No internet service,0.05821789731051968,0.05821789731051968
categorical__TechSupport_No internet service,0.05821789731051968,0.05821789731051968
categorical__OnlineBackup_No internet service,0.05821789731051968,0.05821789731051968
categorical__StreamingMovies_No internet service,0.05821789731051968,0.05821789731051968
categorical__StreamingTV_No internet service,0.05821789731051968,0.05821789731051968
categorical__gender_Female,-0.05618261037783253,0.05618261037783253
categorical__Dependents_Yes,0.056076850273716124,0.056076850273716124
categorical__StreamingMovies_Yes,-0.05553314142162664,0.05553314142162664
categorical__OnlineBackup_No,-0.053070404126437744,0.053070404126437744
categorical__TechSupport_No,0.050551253930256994,0.050551253930256994
categorical__StreamingTV_Yes,-0.049934921325397556,0.049934921325397556
numeric__HasTechSupport,0.0460983132886236,0.0460983132886236
categorical__Contract_Month-to-month,0.04545227311949163,0.04545227311949163
categorical__Contract_One year,-0.043621223316876415,0.043621223316876415
numeric__SeniorCitizen,-0.04017177029107062,0.04017177029107062
categorical__OnlineSecurity_Yes,0.03384543456819584,0.03384543456819584
categorical__MonthlyChargeSegment_Medium,0.029782635099165507,0.029782635099165507
categorical__PaymentMethod_Bank transfer (automatic),0.028507403924909698,0.028507403924909698
categorical__TechSupport_Yes,0.026598199778416425,0.026598199778416425
categorical__PaymentMethod_Mailed check,0.026539396363397864,0.026539396363397864
categorical__MonthlyChargeSegment_High,-0.025179166614358667,0.025179166614358667
categorical__MultipleLines_Yes,-0.020547811362353834,0.020547811362353834
categorical__PaymentMethod_Credit card (automatic),0.011706744158045275,0.011706744158045275
categorical__PaperlessBilling_Yes,0.010952198833233492,0.010952198833233492
categorical__LifecycleSegment_Loyal,-0.010175721182213004,0.010175721182213004
categorical__PhoneService_No,-0.007593302991377917,0.007593302991377917
categorical__MultipleLines_No phone service,-0.007593302991377917,0.007593302991377917
categorical__Dependents_No,-0.004056049052453222,0.004056049052453222
categorical__DeviceProtection_No,-0.0026039325005173873,0.0026039325005173873
categorical__DeviceProtection_Yes,0.0014615832247281669,0.0014615832247281669
numeric__CustomerValueScore,0.00013664384001255158,0.00013664384001255158
